timestamp,open,high,low,close,volume,trade_count,vwap
2023-01-03 10:00:00+00:00,149.79,149.88,149.79,149.88,922,18,149.852744
2023-01-03 10:01:00+00:00,149.71,149.71,149.71,149.71,712,27,149.689213
2023-01-03 10:03:00+00:00,149.56,149.7,149.56,149.7,751,26,149.589601
2023-01-03 10:08:00+00:00,149.5,149.5,149.5,149.5,1679,29,149.508874
2023-01-03 10:12:00+00:00,149.4,149.4,149.37,149.37,1282,24,149.389002
2023-01-03 10:13:00+00:00,149.5,149.5,149.5,149.5,546,19,149.476264
2023-01-03 10:14:00+00:00,149.34,149.34,149.32,149.32,344,11,149.350349
2023-01-03 10:16:00+00:00,149.32,149.32,149.3,149.31,1045,26,149.313455
2023-01-03 10:21:00+00:00,149.22,149.22,149.22,149.22,265,4,149.217623
2023-01-03 10:22:00+00:00,149.11,149.11,149.02,149.02,904,26,149.079524
2023-01-03 10:23:00+00:00,149.0,149.03,148.81,148.81,1849,60,148.954186
2023-01-03 10:24:00+00:00,148.81,148.94,148.8,148.94,975,28,148.851221
2023-01-03 10:26:00+00:00,149.04,149.04,149.04,149.04,167,5,149.036587
2023-01-03 10:29:00+00:00,149.16,149.16,149.16,149.16,217,6,149.164747
2023-01-03 10:30:00+00:00,149.22,149.3,149.22,149.3,551,12,149.256298
2023-01-03 10:33:00+00:00,149.13,149.13,149.13,149.13,105,2,149.128571
2023-01-03 10:34:00+00:00,149.19,149.19,149.19,149.19,481,13,149.189917
2023-01-03 10:47:00+00:00,149.35,149.35,149.35,149.35,231,7,149.35671
2023-01-03 10:48:00+00:00,149.35,149.39,149.35,149.39,408,13,149.367966
2023-01-03 10:51:00+00:00,149.49,149.5,149.49,149.49,682,17,149.481056
2023-01-03 10:54:00+00:00,149.61,149.61,149.61,149.61,406,12,149.611773
2023-01-03 10:55:00+00:00,149.49,149.49,149.49,149.49,1064,13,149.498327
2023-01-03 10:56:00+00:00,149.64,149.69,149.64,149.69,1046,9,149.65479
2023-01-03 10:59:00+00:00,149.49,149.49,149.49,149.49,1224,21,149.485408
2023-01-03 11:05:00+00:00,149.45,149.45,149.45,149.45,207,7,149.441401
2023-01-03 11:06:00+00:00,149.34,149.34,149.34,149.34,211,7,149.345924
2023-01-03 11:07:00+00:00,149.35,149.35,149.33,149.33,1313,24,149.348896
2023-01-03 11:09:00+00:00,149.2,149.2,149.2,149.2,412,19,149.233519
2023-01-03 11:11:00+00:00,149.15,149.15,149.15,149.15,816,5,149.150417
2023-01-03 11:12:00+00:00,149.15,149.18,149.13,149.13,3585,44,149.140273
2023-01-03 11:13:00+00:00,149.11,149.11,149.11,149.11,404,10,149.116782
2023-01-03 11:14:00+00:00,149.03,149.14,149.03,149.14,1517,49,149.142591
2023-01-03 11:16:00+00:00,149.15,149.15,149.15,149.15,311,11,149.139518
2023-01-03 11:17:00+00:00,149.08,149.08,149.08,149.08,500,8,149.08674
2023-01-03 11:19:00+00:00,149.14,149.14,149.14,149.14,841,15,149.14
