timestamp,open,high,low,close,volume,trade_count,vwap
2023-01-03 09:00:00+00:00,150.7,151.0,148.17,148.95,2711,87,149.32571
2023-01-03 09:02:00+00:00,148.94,148.94,148.94,148.94,388,11,148.890876
2023-01-03 09:03:00+00:00,148.85,148.85,148.85,148.85,609,26,148.800805
2023-01-03 09:04:00+00:00,148.81,148.96,148.81,148.95,1155,28,148.896797
2023-01-03 09:05:00+00:00,148.95,148.95,148.95,148.95,409,13,148.9411
2023-01-03 09:08:00+00:00,148.68,148.68,148.68,148.68,430,19,148.684256
2023-01-03 09:09:00+00:00,148.71,148.72,148.71,148.72,1946,34,148.729378
2023-01-03 09:10:00+00:00,148.72,148.87,148.72,148.87,1285,30,148.788031
2023-01-03 09:11:00+00:00,148.86,148.9,148.86,148.87,1179,19,148.877693
2023-01-03 09:12:00+00:00,148.76,148.76,148.76,148.76,1247,23,148.783833
2023-01-03 09:13:00+00:00,148.9,148.9,148.9,148.9,736,15,148.888302
2023-01-03 09:15:00+00:00,148.9,148.9,148.9,148.9,476,5,148.902017
2023-01-03 09:16:00+00:00,148.95,149.0,148.92,149.0,2175,85,148.982313
2023-01-03 09:17:00+00:00,149.38,149.38,149.38,149.38,183,9,149.346995
2023-01-03 09:18:00+00:00,149.1,149.1,149.0,149.0,813,21,149.039176
2023-01-03 09:19:00+00:00,149.02,149.02,149.0,149.0,965,20,149.007067
2023-01-03 09:20:00+00:00,149.0,149.0,148.92,148.92,755,19,148.958318
2023-01-03 09:21:00+00:00,149.0,149.0,149.0,149.0,658,20,148.991337
2023-01-03 09:22:00+00:00,149.0,149.13,149.0,149.13,642,14,149.083287
2023-01-03 09:24:00+00:00,149.3,149.49,149.28,149.49,2091,65,149.384926
2023-01-03 09:25:00+00:00,149.48,149.5,149.48,149.5,762,21,149.50042
2023-01-03 09:26:00+00:00,149.59,149.67,149.5,149.5,3006,52,149.569627
2023-01-03 09:27:00+00:00,149.5,149.5,149.49,149.49,965,21,149.498238
2023-01-03 09:28:00+00:00,149.43,149.43,149.41,149.41,1229,29,149.44271
2023-01-03 09:29:00+00:00,149.4,149.85,149.4,149.57,1986,51,149.531354
2023-01-03 09:30:00+00:00,149.58,149.58,149.58,149.58,681,23,149.555022
2023-01-03 09:31:00+00:00,149.65,149.65,149.65,149.65,259,15,149.63834
2023-01-03 09:36:00+00:00,149.6,149.9,149.6,149.9,3362,84,149.699384
2023-01-03 09:38:00+00:00,149.6,149.6,149.55,149.6,2442,46,149.601003
2023-01-03 09:40:00+00:00,149.67,149.74,149.67,149.74,514,17,149.701012
2023-01-03 09:41:00+00:00,149.74,149.74,149.74,149.74,924,31,149.757641
2023-01-03 09:42:00+00:00,149.88,149.88,149.88,149.88,211,5,149.877725
2023-01-03 09:43:00+00:00,149.8,149.8,149.8,149.8,646,21,149.779892
2023-01-03 09:44:00+00:00,149.71,149.71,149.6,149.6,3519,53,149.626252
2023-01-03 09:45:00+00:00,149.65,149.65,149.64,149.65,5945,55,149.651226
2023-01-03 09:46:00+00:00,149.72,149.72,149.72,149.72,475,7,149.730421
2023-01-03 09:47:00+00:00,149.71,149.71,149.7,149.7,686,11,149.702362
2023-01-03 09:48:00+00:00,149.7,149.7,149.7,149.7,658,5,149.7
